NAME,ADDRESS,CITY,STATE,ZIP5
NORTHERN CAMBRIA COMMUNITY DEVELOPMENT CORP,4200 Crawford Ave,Northern Cambria,PA,15714
NORTHSIDE LEADERSHIP CONFERENCE,4 Allegheny Ctr,Pittsburgh,PA,15212
NUEVA ESPERANZA,2530 N 2nd St,Philadelphia,PA,19133
OAKLAND PLANNING & DEVELOPMENT CORPORATION,231 Oakland Ave,Pittsburgh,PA,15213
PARKVIEW MANOR,OAKLAND PLANNING AND DEVELOPMENT CORP,PITTSBURGH,PA,15213
"PARTNR, INC",PO Box 1214,Altoona,PA,16603
PASSAVANT MEMORIAL HOMES,PO Box 189,Rochester,PA,15074
PENN-MAR DEVELOPMENT CORP,310 OLD FREELAND ROAD,PENN-MAR DEVELOPMENT CORP,PA,21105
"PENNSYLVANIA INTERFAITH COMMUNITIES PROGRAMS, INC",40 E High St,Gettysburg,PA,17325
PEOPLE 'S EMERGENCY CENTER CDC,3902 Spring Garden St,Phila,PA,19104
PEOPLES EMERGENCY CENTER CDC,325 N 39th St,Philadelphia,PA,19104
PERRY HILLTOP A.F.S.E.,801 Union Ave,Pittsburgh,PA,15212
"PETRA COMMUNITY HOUSING, INC.",201 S Main St,Spring City,PA,19475
PHILADELPHIA CHINATOWN DEVELOPMENT CORPORATION,301 N 9th St,Philadelphia,PA,19107
"PHOEBE HOUSING, INCORPORATED",1831 W Linden St,Allentown,PA,18104
PHOENIXVILLE HOMES,534 Merioneth Dr,Exton,PA,19341
PHOENIXVILLE HOMES,201 S Main St,Spring City,PA,19475
POINT BREEZE FEDERATION INC,1248 S 21st St,Phila,PA,19146
READING HOUSING OPPORTUNITIES,247 N 5th St,Reading,PA,19601
RESIDENTIAL RESOURCES DEVEL,Benedum Trees Building,Pittsburgh,PA,15222
"RESOURCES FOR HOUSING, INC.",1610 Industrial Blvd Ste 100,Lewisburg,PA,17837
RURAL OPPORTUNITY HOUSING CORP,2331 Market St,Camp Hill,PA,17011
"SARAH ALLEN SERVICES, INC",1221 Fairmount Ave,Phila,PA,19123
SCHUYLKILL COMMUNITY ACTION,206 N 2nd St,Pottsville,PA,17901
"SCRANTON NEIGHBORS, INC.",670 Adams Ave,Scranton,PA,18510
SEDA COG HOUSING DEVELOPMENT CORP.,201 Furnace Rd,Lewisburg,PA,17837
SHEPARDS IN MONROE COUNTY,PO Box 302,Cresco,PA,18326
SNYDERVILLE CDC,1221 Fairmount Ave,Phila,PA,19123
SOUTH ANN CONCERNED NEIGHBORS,243 S Ann St,Lancaster,PA,17602
SOUTH SIDE LOCAL DEVELOPMENT COMPANY,1417 E Carson St,Pittsburgh,PA,15203
Spanish American Civic Association Development Corp (SACA),545 Pershing Ave,Lancaster,PA,17602
ST. MARTIN'S CENTER (CR),1701 Parade St,Erie,PA,16503
STATE COLLEGE COMMUNITY LAND TRUST,118 S Fraser St,State College,PA,16801
"STEP, INC",LINCOLN STREET,WILLIAMSPORT,PA,17701
STEVENS HOUSING CORPORATION,33 State Ave,Carlisle,PA,17013
SUNNYSIDE MINISTRIES,ST. JOHN'S CHURCH,LANCASTER,PA,17603
SUSQUEHANNA HEALTH SYSTEMS,904 Campbell St,Williamsport,PA,17701
SUSQUEHANNA HOUSING OPPORTUNITIES,ONE UNITED WAY,HARRISBURG,PA,17110
TEMPORARY HOUSING FOUNDATION,217 E Nittany Ave,State College,PA,16801
THE TRE-HAB CENTER,10 Public Ave,Montrose,PA,18801
"THRESHOLD HOUSING DEVELOPMENT, INC",55 N Beeson Ave,Uniontown,PA,15401
TRI-COUNTY COMM. FOR COMMUNITY AFFAIRS,2107 N 6th St,Harrisburg,PA,17110
TRI-COUNTY HDC/CAC,1514 Derry St,Harrisburg,PA,17104
UNITED COMMUNITIES COMMUNITY DEVELOPMENT CORP,2029 S 8th St,Phila,PA,19148
UNITED HANDS COMM LAND TRUST,2200 N 2nd St,Philadelphia,PA,19133
UNITED NEIGHBORHOOD COMMUNITY DEVELOPMENT CORPORATION,425 Alder St,Scranton,PA,18505
"UNIVERSAL COMMUNITY HOMES, INC.",1427 Montrose St,Philadelphia,PA,19146
"VILLAGE OF ARTS AND HUMANITIES, INC.",2544 Germantown Ave,Philadelphia,PA,19133
WASHINGTON-GREENE COM,2198 N Main St,Washington,PA,15301
WESLEY UNION CDC,5TH & CAMP STREET,HARRISBURG,PA,17110
WEST END ELLIOTT JOINT PROJECT CMTE,406 S Main St,Wabash,PA,15220
WEST PHILADELPHIA PARTNERSHIP,3901 Market St Ste 1949,Philadelphia,PA,19104
"WESTMORELAND CHODO, INC",352 Main St,Latrobe,PA,15650
"WESTMORELAND COMMUNITY ACTION, INC.",226 S Maple Ave,Greensburg,PA,15601
"WESTMORELAND HUMAN OPPORT., INC.",203 S Maple Ave,Greensburg,PA,15601
"WILLIAMSPORT/LYCOMING HABIT FOR HUMANITY, INC",314 PINE STREE PLAZA,WILLIAMSPORT,PA,17701
WILLOW TERRACE,COMMUNITY HOMES OF LEBANON VALLEY,LEBANON,PA,17042
WOMEN'S COMM REVITALIZATION,333 W Girard Ave,Philadelphia,PA,19123
YORK AREA DEVELOPMENT CORPORATION,118 N George St,York,PA,17401
YORK COMMUNITY DEVELOPMENT CORPORATION,264 W Market St,York,PA,17401
ZACCAEUS CORPORATION,33 E Northampton St,Wilkes Barre,PA,18701
ADVANCER LOCAL DEVELOPMENT CORP,403 Calle Del Parque,Santurce,PR,00912
ALBERQUE EL PARAISO,PO Box 11740,San Juan,PR,00910
APOYO EMPRESARIAL PARA EL DESARROLL,PO Box 7187,San Juan,PR,00916
ASOCIACION DE CLUDADANOS UNIDOS,"ISRAEL Y BITUMUL, INC.",HATO REY,PR,00917
CEIBA HSG ECONOMIC DEV. (CHEDCO),LAURO PINERO AVENUE,CEIBA,PR,00753
"CENTRO EDUCACION SOCIAL DE PR, INC.",PO Box 225,Angeles,PR,00611
CODEPCOVI,PO Box 330590,Ponce,PR,00733
"COMITE COMUNITARIO PRO VIVIENDA, INC.",PO Box 657,Mayaguez,PR,00681
COMITE COMUNITARIO PRO-VIVIENDA (COCOPROVI),PO Box 5011,Aguadilla,PR,00605
COMITE ECUMENICO DES. ECONOMICO COM. INC. (CEDECO),ROAD 105 KM. 8.4,MAYAGUEZ,PR,00680
COMMONWEALTH OF PUERTO RICO (HOME GRANTS),LA FORTALEZ,SAN JUAN,PR,00901
COMMUNITY ACTIONS FOR SOCIAL AFFAIRE AND HSG DEV. P.R.,PO Box 1385,Anasco,PR,00610
"COMMUNITY PROPERTIES DEVELOPMENT INC, PR.",PO Box 192294,San Juan,PR,00919
CORP COMITE AMIGOS COMUNIDAD BERIO,HC-03 BOX 14129,BO. PALMARITO C,PR,00783
CORPORACION DE DESARROLLO INTEGRAL DE FAJARDO,PO Box 697,Fajardo,PR,00738
CORPORACION DE DESARROLLO Y FOMENTO,CALLE JOSE C. BARBOSA #165,LAS PIEDRAS,PR,00771
CORPORACION DESARROLLO BARRIADAS ISRAEL & BITUMUL,PO Box 1845,Bayamon,PR,00960
"CORPORACION PARA DESARROLLO DE VIVIENDA DE TOA BAJA, C.D.",RD1 DOMINICOS AVENUE,TOA BAJA,PR,00949
CORPORACION PARA EL DESARROLLO DE,RAMOS ANTONINI 150-E ALTOS,MAYAGUEZ,PR,00681
CORPORACION PARA EL DESARROLLO INT,29 Calle Julio Perez Irizarry,Hormigueros,PR,00660
COSSMA,PO Box 1298,Cidra,PR,00739
ECONOMIC DEVELOPMENT OF TRUJILLO ALTO CORP,202 Calle Dr Fernandez,Trujillo Alto,PR,00976
ECONOMIC DEVELOPMENT OF TRUJILLO ALTO CORP.,DR. FERNANDEZ ST.,TRUJILLO ALTO,PR,00976
ESPERANZA PARA LA VEJEZ,PO Box 366049,San Juan,PR,00936
ESPERANZA PARA LA VEJEZ (HOPE),PO Box 1008,Aguadilla,PR,00605
ESPERANZA PARA LA VEJEZ INC.,DUENDE ST.,BAYAMON,PR,00956
ESPERANZA PARA LA VEJEZ INC.,2G1 Calle Duende,Bayamon,PR,00956
FOUNDATION FOR SOCIAL DEVELOPMENT,PO Box 9579,Arecibo,PR,00613
FUNDACION DE DESARROLLO COMUNAL DE P.R.,PO Box 6300,Caguas,PR,00726
FUNDACION SOCIO EDU. DE CAGUAS,35 Calle Betances,Caguas,PR,00725
FUNDESCO,PO Box 6300,Caguas,PR,00726
FUNDESCO,PO Box 6300,Caguas,PR,00726
GuaraBi Inc.,PO Box 6581,Caguas,PR,00726
HOME VILLAGE CORP,Apartado,SAN JUAN,PR,00936
HOUSING DEVELOPMENT CORP OF BAYAMON,PO Box 6309,Bayamon,PR,00960
"INDESOVI, INC.",Cond Ramos,Mayaguez,PR,00682
INSTITUTO DE SERVICIOS COMUNALES INC.,PONCE DE LEON AVENUE,HATO REY,PR,00906
INSTITUTO PRE-VOCACIONAL & INDUSTRIAL DE PUERTO RICO,PO Box 1800,Arecibo,PR,00613
INSTITUTO SOCIO-ECONOMICO COM. INC.,PO Box 9066542,San Juan,PR,00906
LA FONDITA DE JESUS,PO Box 19384,San Juan,PR,00910
LUCHA CONTRA EL SIDA,PO Box 190979,San Juan,PR,00919
OFICINA PRO-AYUDA A PERSONAS CON IMPEDIMIENTOS,,RIO GRANDE,PR,99999
"ONE STOP CAREER CENTER OF PUERTO RICO, INC.",Condominio Plaza Universidad 2000,San Juan,PR,00925
ORGANIZACION BENEFICA DE RESTAURACION Y ACCION SOC.,,ORGANIZACION BENEFICA DE RESTAURACION Y ACCION SOC.,PR,99999
PATHSTONE COMMUNITY DEV. CORP.,1255 Paseo Las Monjitas,Ponce,PR,00730
"PLAZA GARDEN, INC.",PO Box 10747,San Juan,PR,00922
PONCE NEIGHBORHOOD HOUSING SERVICES,PO Box 223,Ponce,PR,00780
POSADA DE AMOR,"CARR. #456, KM 1.0",QUEBRADILLAS MUNICI,PR,00678
PRESBITERIANOS EN SERVICIO A LA COMUNIDAD,PO Box 5090,Aguadilla,PR,00605
"PRODUCIR, INCORPORATED",PO Box 1660,Canovanas,PR,00729
PUERTO RICO COMMUNITY FOUNDATION,Cond Royal,San Juan,PR,00917
"PUERTO RICO COMMUNITY HOUSING DEVELOPMENT, INC.",RR 3 Box 3724,San Juan,PR,00926
RURAL OPPORTUNITIES P.R. INC.,PO Box 88,Adjuntas,PR,00601
SAN JUAN NEIGHBORHOOD HOUSING SERVICE,AVENIDA DE DIEGO 312 SUITE 404,SAN JUAN,PR,00909
SERVICIO DE VIVIENDAS VECINALES DE CAROLINA,PO Box 887,Carolina,PR,00986
TIME COMM BUSINESS AND DEV CORP.,PO Box 403,Coto Laurel,PR,00780
TIME COMMUNITY BUSINESS & DEV.,PO Box 330206,Ponce,PR,00733
ACTION COMMUNITY LAND TRUST,25 W Independence Way,Kingston,RI,02881
ADVENT HOUSE,PO Box 73099,Providence,RI,02907
BLACKSTONE VALLEY COMMUNITY ACTION PROGRAM,COMMUNITY ACTION CORP,PAWTUCKET,RI,02860
BLACKSTONE VALLEY DEVELOPMENT CORPORATION,679 Social St,Woonsocket,RI,02895
CHURCH COMMUNITY HOUSING CORP,50 Washington Sq,Newport,RI,02840
COMMUNITY WORKS RI,693 Broad St,Providence,RI,02907
COMPREHENSIVE COMMUNITY ACTION,311 Doric Ave,Cranston,RI,02910
COVENTRY HOUSING ASSOCIATES,14 Manchester Cir,Coventry,RI,02816
EAST BAY CDC,PO Box 449,Bristol,RI,02809
"EAST PROVIDENCE NEIGHBORHOOD HOUSING SERVICES, INC",194 Taunton Ave,East Providence,RI,02914
ELMWOOD NEIGHBORHOOD HOUSING SERVICES,9 Atlantic Ave,Providence,RI,02907
FACTS,18 PARKSIS STREET,PROVIDENCE,RI,02907
GOOD NEWS HOUSING/COMMUNITY LAND,1043 Broad St,Providence,RI,02905
Habitat for Humanity NRI,PO Box 6743,Warwick,RI,02887
HOUSE OF HOPE,65 Shippen Ave,Warwick,RI,02888
HOUSE OF HOPE COMMUNITY DEVELOPMENT CORPORATION,3188 Post Rd,Warwick,RI,02886
HOUSING DEVELOPMENT CORP OF THE NORTHEAST,418 Charles St,Providence,RI,02904
LUCY'S HEARTH HOUSING DEV,PO Box 966,Portsmouth,RI,02871
MT. HOPE NEIGHBORHOOD LAND TR,199 Camp St,Providence,RI,02906
OLNEYVILLE HOUSING CORP,122 Manton Ave,Providence,RI,02909
OLNEYVILLE HOUSING CORPORATION,1 Curtis St,Providence,RI,02909
OPERATION STAND DOWN RHODE ISLAND,1010 Hartford Ave,Johnston,RI,02919
PAWTUCKET CENTRAL FALLS DEVELOPMENT CORP,204 Broad St,Pawtucket,RI,02860
PAWTUCKET CITIZENS DEVELOPMENT CORP,210 West Ave,Pawtucket,RI,02860
PPS REVOLVING FUND,24 Meeting St,Providence,RI,02903
R.E.A.C.H.,400 Dexter St,Central Falls,RI,02863
RHODE ISLAND ORGANIZING PROJECT,134 Mathewson St,Providence,RI,02903
SMITH HILL COMMUNITY DEVELOPMENT CORP,47 Goddard St,Providence,RI,02908
SMITH HILL DEVELOPMENT CORP,40 BUGGIES STREET,PROVIDENCE,RI,02908
SOUTH COUNTY COMM ACTION INC,PO Box 3738,Peace Dale,RI,02883
STAR OF THE SEA,118 Washington St,Newport,RI,02840
STOP WASTING ABANDONED PROPERTY,439 Pine St,Providence,RI,02907
SWAP,439 Pine St,Providence,RI,02907
THE ELMWOOD FOUNDATION,1 Trinity Sq,Providence,RI,02907
THE URBAN LEAGUE OF RHODE ISLAND,246 Prairie Ave,Providence,RI,02905
TRAVELERS AID SOCIETY,177 Union St,Providence,RI,02903
WASHINGTON COUNTY COMMUNITY DEVELOPMENT CORP,313 Main St Unit A,Wakefield,RI,02879
WEST BROADWAY NEIGHBORHOOD ASSOCIATION,1560 Westminster St,Providence,RI,02909
WEST ELMWOOD HOUSING DEVELOPMENT CORP,392 Cranston St,Providence,RI,02907
WESTBAY COMMUNITY ACTION,218 Buttonwoods Ave,Warwick,RI,02886
WOONSOCKET NEIGHBORHOOD DEVELOPMENT CORP,PO Box 484,Woonsocket,RI,02895
"WOONSOCKET NEIGHBORHOOD DEVELOPMENT CORP, RI",719 Front St Unit 103,Woonsocket,RI,02895
30901 DEVELOPMENT CORORATION,919 Bluff Rd,Columbia,SC,29201
ALLEN TEMPLE CEDC,PO Box 2202,Greenville,SC,29602
ALLENDALE COUNTY ALIVE,PO Box 252,Allendale,SC,29810
BENEDICT-ALLEN CDC,1600 Harden St,Columbia,SC,29204
BENEDICT-ALLEN COMMUNITY DEVELOPMENT CORPORATION,1600 Harden St,Columbia,SC,29204
"BGM, INC.",PO Box 3474,Greenville,SC,29602
BLACKVILLE CDC PARTNERS FOR PROGRESS,PO Box 414,Blackville,SC,29817
"BUTTERFLY HOUSE, INC.",PO Box 13,Blackville,SC,29817
CAMDEN FIRST CDC,PO Box 690,Camden,SC,29021
CAROLINA COMMUNITY DEVELOPMENT CORPORATION,7945 Wilson Blvd,Columbia,SC,29203
CAROLINA COMMUNITY DEVELOPMENT CORPORATION,101 Rice Bent Way,Columbia,SC,29229
CDC OF MARLBORO COUNTY,PO Box 103,Bennettsville,SC,29512
CHARLESTON AFFORDABLE HOUSING,180 Meeting St,Charleston,SC,29401
CHARLESTON AREA CDC,PO Box 21044,Charleston,SC,29413
CHARLESTON AREA COMMUNITY DEVELOPMENT CORPORATION,1071A King St,Charleston,SC,29403
CHARLESTON AREA COMMUNITY DEVELOPMENT CORPORATION,1071A King St,Charleston,SC,29403
CHARLESTON AREA COMMUNITY DEVELOPMENT CORPORATION,1071A King St,Charleston,SC,29403
CHARLESTON BANK CONSORTIUM,701 E Bay St,Charleston,SC,29403
CHARLESTON COUNTY PHA REDEVELOPMENT AND HOUSING FOUNDATION,P.O. BOX  6188,CHARLESTON,SC,29405
CHARLESTON HOMEOWNERSHIP CENTER,472 Meeting St Ste C,Charleston,SC,29403
CITY OF SUMTER HOUSING AND ECONOMIC DEVELOPMENT CORP.,PO Box 2361,Sumter,SC,29151
CLAFIN COLLEGE COMMUNITY DEVELOPMEN,700 Magnolia St,Orangeburg,SC,29115
"CLARENDON COUNTY COMMUNITY DEVELOPMENT CORPORATION, INC.",PO Box 160,Manning,SC,29102
CLARENDON COUNTY COUNCIL,PO Box 486,Manning,SC,29102
COLLETON COUNTY HABITAT FOR HUMANITY,PO Box 887,Walterboro,SC,29488
COLUMBIA HOUSING DEVELOPMENT ORGANIZATION,Palmetto Center 18th Floor,Columbia,SC,29226
COMMUNITY ASSISTANCE PROVIDER,201 Fallen Oak Dr,Columbia,SC,29229
COMMUNITY ASSISTANCE PROVIDER,9400 Two Notch Rd Ste B,Columbia,SC,29223
"COMMUNITY ASSISTANCE PROVIDER, INC.",PO Box 291921,Columbia,SC,29229
COMMUNITY DEVELOPMENT IMPROVEMENT CORPORATION,100 Rogers Ter,Aiken,SC,29801
"COMMUNITY HOUSING, INC",PO Box 1622,Fort Mill,SC,29716
"DEVELOPMENT WORKS, INC.",180 Meeting St Ste 205,Charleston,SC,29401
EAST BLUFF COMMUNITY ORGANIZATION,2613 Palmland Dr,Columbia,SC,29209
ECHO,2170 Ashley Phosphate Rd,North Charleston,SC,29406
ECONOMIC CONSULTANTS FOR HOUSING,2170 Ashley Phosphate Rd,North Charleston,SC,29406
ECONOMIC CONSULTANTS FOR HOUSING,2170 Ashley Phosphate Rd,North Charleston,SC,29406
EPISCOPAL DIOCESE OF SOUTH CAROLINA,126 Coming St,Charleston,SC,29403
FAIRFIELD UNITED ACTION,210 S Vanderhorst St,Winnsboro,SC,29180
FIVE RIVERS COMMUNITY DEVELOPMENT,PO Box 1279,Georgetown,SC,29442
GENESIS HOMES,2131 Woodruff Rd Ste 2100,Greenville,SC,29607
GENESIS HOMES,2131 Woodruff Rd Ste 2100,Greenville,SC,29607
GRAND STRAND HOUSING,PO Box 2468,Myrtle Beach,SC,29578
"GREENVILLE HOUSING FUTURES, INC",PO Box 1812,Greenville,SC,29602
GREENVILLE URBAN LEAGUE'S COMMUNITY,15 Regency Hill Dr,Greenville,SC,29607
GREENWOOD AREA HABITAT FOR HUMANITY,PO Box 68,Greenwood,SC,29648
"GREENWOOD AREA HABITAT FOR HUMANITY, INC",PO Box 68,Greenwood,SC,29648
GREER COMMUNITY REINVESTMENT CORP,106 S Main St,Greer,SC,29650
HABITAT FOR HUMANITY OF GEORGETOWN COUNTY,1907 Hampton Ct,Georgetown,SC,29440
HABITAT FOR HUMANITY OF GREENVILLE COUNTY,PO Box 16714,Greenville,SC,29606
HAMPTON COUNTY HABITAT FOR HUMANITY,P.O. BOX 886,YEMASSEE,SC,29906
HEARTH CORP,PO Box 12413,Florence,SC,29504
Herindependence,807 Duvall St,Charleston,SC,29412
HILTON HEAD REG. HABITAT FOR HUMANITY,P.O. BOX 3725,HILTON HEAD ISL,SC,29938
HOME ALLIANCE INC.,PO Box 2468,Myrtle Beach,SC,29578
"HOME ALLIANCE, INC.",PO Box 2468,Myrtle Beach,SC,29578
"Homeless No More, Inc.",2711 Middleburg Dr Ste 308,Columbia,SC,29204
HOMES OF HOPE,3 Dunean St,Greenville,SC,29611
"Homes of Hope, Inc.",3 Dunean St,Greenville,SC,29611
"HOMES OF HOPE, INC.",206 Plantation Dr,Greer,SC,29651
"HUMANITIES HOUSING, INC.",216 Seven Farms Dr Ste 210,Daniel Island,SC,29492
INNOVATIVE HOUSING GROUP INC.,142 S Dean St,Spartanburg,SC,29302
JASPER COUNTY NEIGHBORS UNITED (JCNU),PO Box 1131,Hardeeville,SC,29927
"LOW COUNTRY COMMUNITY, INC.",1000 William Hilton Pkwy,Hilton Head Island,SC,29928
LOW COUNTRY HABITAT FOR HUMANITY,616 Parris Island Gtwy,Beaufort,SC,29906
LOWCOUNTRY HOUSING & ECONOMIC DEVELOPMENT INC.,2106 Mount Pleasant St,Charleston,SC,29403
METANOIA,2005 Reynolds Ave,North Charleston,SC,29405
"MORNINGSIDE COMMUNITY DEVELOPMENT ASSOCIATION, INC.",PO Box 13586,Anderson,SC,29624
NEHEMIAH,PO Box 8958,Greenville,SC,29604
NEHEMIAH COMMUNITY REVITALIZATION CORPORATION,PO Box 8958,Greenville,SC,29604
NEHEMIAH CORPORATION,PO Box 3321,Greenville,SC,29602
NEIGHBORHOOD HOUSING CORP OF GREENVILLE,PO Box 10763,Greenville,SC,29603
New America Corporation,1747 Amelia St,Orangeburg,SC,29115
"NORTH CHARLESTON HOUSING CORP, INC",1619 Remount Rd,North Charleston,SC,29406
NORTHEASTERN CORRIDOR OF ORANGEBURG CDC,Post Office Box 7758,Orangeburg,SC,29117
OSPREY POINTE APARTMENTS III LP,1345 Garner Ln Ste 103B,Columbia,SC,29210
P.A.S.T.O.R.S,81 Columbus St,Charleston,SC,29403
PALMETTO STATE BASE CAMP,3519 Medical Dr,Columbia,SC,29203
PICKENS COUNTY HABITAT FOR HUMANITY,118 Knight Cir,Clemson,SC,29631
"PRESERVATION TRUST OF SPARTABURG, INC",244 WEST HAMPTON DRIVE,SPARTANBURG,SC,29306
ROCK HILL JOINT VENTURE FOR AFFORDABLE HOUSING,PO Box 11706,Rock Hill,SC,29731
"SAMARITAN HOUSE OF ORANGEBURG, INC.",1580 Middleton St,Orangeburg,SC,29115
SANTEE-LYNCHES AFFORDABLE HOUSING AND COMMUNITY DEVELOPMENT CORP,255 Broad St,Sumter,SC,29150
"SANTEE-LYNCHES AFFORDABLE HOUSING AND COMMUNITY DEVELOPMENT,INC.",CITY OF SUMTER,SUMTER,SC,29151
SCOTT'S BRANCH 76 FOUNDATION,10 S Dukes St,Summerton,SC,29148
SECOND BAPTIST CDC,343 Laurens St NW,Aiken,SC,29801
"SHANDON PRESBYTERIAN HOUSING RESOURCES, INC.",607 Woodrow St,Columbia,SC,29205
SOUTH CAROLINA REGIONAL COMMUNITY DEVELOPMENT CORP,422 Beech Ave,Denmark,SC,29042
SOUTH CAROLINA UPLIFT COMMUNITY OUTREACH,PO Box 291212,Columbia,SC,29229
SOUTHEASTERN HOUSING FOUNDATION,684 Wellington Rd,Barnwell,SC,29812
SPARTANBURG HOUSING DEVELOPMENT,139 S Dean St,Spartanburg,SC,29302
SPARTANBURG RESIDENTIAL DEVELOPMENT CORPORATION,PO Box 1749,Spartanburg,SC,29304
SUMTER COUNTY COMMUNITY DEVELOPMENT CORPORATION,337 Manning Ave,Sumter,SC,29150
THE EPISCOPAL DIOCESE CHDO,PO Box 20127,Charleston,SC,29413
THE WOMEN'S SHELTER,3425 N Main St,Columbia,SC,29203
TRI-COUNTY REGIONAL DEVELOPMENT CORPORATION,200 N Fraser St,Georgetown,SC,29440
TRINITY HOUSING CORPORATION,ST. LAWRENCE PLACE,COLUMBIA,SC,29204
UPSTATE HOMELESS COALITION,150 Executive Center Dr,Greenville,SC,29615
UPSTATE HOMELESS COALTION,2 Bennett St,Greenville,SC,29601
URBAN LEAGUE OF THE UPSTATE INC.,15 Regency Hill Dr,Greenville,SC,29607
VILLAGE OF HOPE CDC,PO Box 44,Columbia,SC,29202
"WATEREE COMMUNITY ACTIONS, INC",PO Box 1838,Sumter,SC,29151
"WILLIAMSBURG ENTERPRISE COMMUNITY, INC.",PO Box 428,Kingstree,SC,29556
YOUTHBUILD CHARLESTON,7555 Spartan Blvd N,North Charleston,SC,29420
"Affordable Housing Solutions, Inc.",630 S Minnesota Ave,Sioux Falls,SD,57104
AMERICAN INDIAN SERVICES,1000 N West Ave,Sioux Falls,SD,57104
DEVELOPMENT FOR THE DISABLED,1925 N Plaza Dr,Rapid City,SD,57702
"HOMES ARE POSSIBLE, INC.",305 CAPITOL BUILDING,ABERDEEN,SD,57402
"HOMES ARE POSSIBLE, INC.",318 S Main St,Aberdeen,SD,57401
ICAP,111 N Van Eps Ave,Madison,SD,57042
"INTERLAKES COMMUNITY ACTION, INC",PO Box 268,Madison,SD,57042
"NEIGHBORHOOD HOUSING SERVICES OF THE BLACK HILLS, INC.",817 1/2 Main St,Deadwood,SD,57732
"SF Housing Ministry, LLC",225 E 11th St,Sioux Falls,SD,57104
"SOUTHERN HILLS DEVELOPMENTAL, INC",1502 National Ave,Hot Springs,SD,57747
"TETON COALITION, INC.",20 E New York St,Rapid City,SD,57701
28TH COMMUNITY DEVELOPMENT CORP.,PO Box 4703,Chattanooga,TN,37405
"ACCESSIBLE BUILDERS CONSORTIUM, INC.",1304 Rock Creek Trce,Whites Creek,TN,37189
"ACCESSIBLE SPACE, INC.",                                             ,MEMPHIS,TN,99999
AFFORDABLE HOUSING CDC,204 W Main St,Jackson,TN,38301
"AFFORDABLE HSG RESOURCES (AHN,TRF)",1011 Cherry Ave,Nashville,TN,37203
AID TO DISTRESSED FAMILIES,PO Box 5953,Oak Ridge,TN,37831
"ALPHA OMEGA VETERANS SERVICES, INC.",1183 Madison Ave,Memphis,TN,38104
ASSOCIATED CATHOLIC CHARITIES,                                             ,MEMPHIS,TN,99999
"BASE CAMP, INC.",PO Box 40188,Nashville,TN,37204
"BE A HELPING HAND FOUNDATION, INC.",829 W McKennie Ave,Nashville,TN,37206
BETHESDA CDC,2816 Tucker Rd,Nashville,TN,37218
BORDEAUX COMMUNITY DEVELOPMENT CORPORATION,2312 Lloyd Ave,Nashville,TN,37218
BROWNSVILLE-HAYWOOD COUNTY COMMUNIT,PO Box 1026,Brownsville,TN,38012
"BUFFALO VALLEY, INC",501 Park Ave S,Hohenwald,TN,38462
"CHATTANOOGA COMMUNITY HOUSING ORGANIZATION, INC",633 Chestnut St,Chattanooga,TN,37450
"CHILD AND FAMILY SERVICES, INC.",901 E Summit Hill Dr,Knoxville,TN,37915
CLEVELAND-BRADLEY HOUSING CORP,PO Box 3297,Cleveland,TN,37320
CLINCH-POWELL RESOURCE CONSERVATION & DEVELOPMENT CORP.,PO Box 379,Rutledge,TN,37861
COLLIERVILLE COMMUNITY HOUSING DEVELOPMENT,1164 Ravenna Cv,Collierville,TN,38017
COMMUNITY ACTION FOR AFFORDABLE NEIGHORHOODS,PO Box 51650,Knoxville,TN,37950
COMMUNITY ACTION NETWORK,3975 Copper Spring Rd,Springville,TN,38256
"COMMUNITY ENHANCEMENT DEVELOPMENT ORGANIZATION, INC.(CEO)",1308 Lischey Ave,Nashville,TN,37207
COMMUNITY HOUSING PARTNERSHIP OF,1320 W Main St,Franklin,TN,37064
COOPER-YOUNG DEVELOPMENT CORP,P.O. BOX 12511,MEMPHIS,TN,38182
"CREATIVE COMPASSION, INC",ROUTE 20 BOX 117,CROSSVILLE,TN,38555
CUMBERLAND REGIONAL DEV CORP.,1225 S Willow Ave,Cookeville,TN,38506
"DOUGLASS, BUNGALOW & CRUMP NEIGHBORHOOD",1650 Ash St,Memphis,TN,38108
EAST JACKSON ECONOMIC DEVELOPMENT COMMISSION,PO Box 7,Jackson,TN,38302
EAST TENNESSEE HOUSING COALITION,PO Box 1405,Morristown,TN,37816
EAST TENNESSEE HOUSING DEVELOPMENT CORPORATION,10414 Jackson Oaks Way Ste 202,Knoxville,TN,37922
EASTERN EIGHT CDC,214 E Watauga Ave,Johnson City,TN,37601
FAMILY SERVICES OF THE MID-SOUTH,,MEMPHIS,TN,38107
FAYETTE COUNTY CITIZENS FOR PROGRESS,PO Box 523,Somerville,TN,38068
FIFTEENTH AVENUE BAPTIST CDC,1215 9th Ave N,Nashville,TN,37208
FOOTHILLS COMMUNITY DEVELOPMENT CORP.,1620 W Broadway Ave,Maryville,TN,37801
FOUNDATION FOR HOMEOWNERSHIP,1900 Union Ave,Memphis,TN,38104
FRAYSER CDC,3394 Overton Crossing St,Memphis,TN,38127
FRIENDS FOR LIFE AIDS RESOURCE CENTER,                                             ,MEMPHIS,TN,38107
"FRIENDSHIP HOMES, INC.",404 James Robertson Pkwy,Nashville,TN,37219
